Date;Date;t = t(2)-t(1) Days;adult females without eggs in 1m3;adult females with eggs in 1m3;adult asexual females in 1m3;juveniles in 1m3;number of eggs in 1m3;Total non-sexual females;Eggs/female;Egg/female: corrected to live regession;Live Eggs/female*;r (day-1);mid-date;mid-date;r (day-1)                                        [repeated from M];D (days);b (day-1);d (day-1);r (day-1)                                        [repeated from M];D-t;D/t;data_state
15.06.00;36692;7;5845.4;9234.7;15080.1;13901.2;22251.7;28981.2;0.77;0.99;;0.04;36695;18.06.00;0.04;3.855;0.179;0.139;0.04;-3.14;0.55;
22.06.00;36699;7;13115.2;7736.5;20851.8;17536.1;10536.4;38387.9;0.27;0.35;;-0.183;36702;25.06.00;-0.183;3.781;0.08;0.263;-0.183;-3.22;0.54;
29.06.00;36706;8;5599.8;3610.4;9210.1;1449.1;5034.9;10659.2;0.47;0.61;;-0.002;36710;03.07.00;-0.002;3.722;0.128;0.13;-0.002;-4.28;0.47;
07.07.00;36714;5;3359.9;3124.1;6483.9;4037.7;5717.7;10521.7;0.54;0.7;;-0.162;36716;09.07.00;-0.162;3.678;0.145;0.307;-0.162;-1.32;0.74;
12.07.00;36719;8;1237.8;1458.9;2696.7;1974.7;2726.2;4671.4;0.58;0.75;;-0.017;36723;16.07.00;-0.017;3.632;0.155;0.171;-0.017;-4.37;0.45;
20.07.00;36727;7;1545.7;1427.8;2973.4;1113.4;3405.7;4086.8;0.83;1.08;;0.044;36730;23.07.00;0.044;3.616;0.202;0.158;0.044;-3.38;0.52;
27.07.00;36734;6;1252.6;1149.4;2402;3168.3;3654.6;5570.3;0.66;0.85;;0.043;36737;30.07.00;0.043;3.627;0.169;0.127;0.043;-2.37;0.6;
02.08.00;36740;8;2991.5;1591.5;4583;2608.3;3846.2;7191.3;0.53;0.69;;-0.034;36744;06.08.00;-0.034;3.66;0.144;0.177;-0.034;-4.34;0.46;
10.08.00;36748;7;1311.5;1753.6;3065.1;2431.5;3698.8;5496.6;0.67;0.87;;0.047;36751;13.08.00;0.047;3.714;0.168;0.121;0.047;-3.29;0.53;
17.08.00;36755;7;1607.6;1386.5;2994.1;4662;3054.4;7656.1;0.4;0.52;;-0.08;36758;20.08.00;-0.08;3.787;0.11;0.19;-0.08;-3.21;0.54;
24.08.00;36762;6;1810.5;687.7;2498.1;1880.6;982.4;4378.8;0.22;0.29;;-0.118;36765;27.08.00;-0.118;3.876;0.066;0.184;-0.118;-2.12;0.65;
30.08.00;36768;7;1208.4;162.1;1370.5;781;191.6;2151.5;0.09;0.12;;-0.146;36771;02.09.00;-0.146;3.964;0.027;0.174;-0.146;-3.04;0.57;
06.09.00;36775;8;365.5;159.2;524.6;247.6;377.2;772.2;0.49;0.63;;0.148;36779;10.09.00;0.148;4.098;0.119;-0.029;0.148;-3.9;0.51;
14.09.00;36783;6;894;442.1;1336.1;1188.7;1660.3;2524.8;0.66;0.85;;0.144;36786;17.09.00;0.144;4.244;0.145;0.001;0.144;-1.76;0.71;
20.09.00;36789;8;1753.6;1370.5;3124.1;2873.6;5084;5997.6;0.85;1.1;;0.091;36793;24.09.00;0.091;4.423;0.167;0.076;0.091;-3.58;0.55;
28.09.00;36797;7;4610.8;4165.4;8776.2;3667.7;11212.6;12443.9;0.9;1.16;;-0.062;36800;01.10.00;-0.062;4.642;0.166;0.229;-0.062;-2.36;0.66;
05.10.00;36804;6;3667.7;1624.3;5291.9;2750.8;2410.2;8042.7;0.3;0.39;;-0.021;36807;08.10.00;-0.021;4.906;0.067;0.088;-0.021;-1.09;0.82;
11.10.00;36810;8;2829.4;2279.2;5108.6;1984.5;4145.8;7093;0.58;0.76;;0.008;36814;15.10.00;0.008;5.226;0.108;0.1;0.008;-2.77;0.65;
19.10.00;36818;8;2726.2;1424.5;4150.7;3413.9;3070;7564.6;0.41;0.52;;-0.017;36822;23.10.00;-0.017;5.676;0.074;0.091;-0.017;-2.32;0.71;
27.10.00;36826;5;4106.5;805.6;4912.1;1689.8;1395;6601.8;0.21;0.27;;-0.085;36828;29.10.00;-0.085;6.089;0.04;0.124;-0.085;1.09;1.22;Unreliable
01.11.00;36831;5;2318.5;903.8;3222.3;1100.3;1689.8;4322.6;0.39;0.51;;0.014;36833;03.11.00;0.014;6.495;0.063;0.049;0.014;1.5;1.3;Unreliable
06.11.00;36836;18;2409.4;618.9;3028.3;1613.6;1149.4;4641.9;0.25;0.32;;-0.025;36845;15.11.00;-0.025;7.729;0.036;0.061;-0.025;-10.27;0.43;Suspect
24.11.00;36854;3;962.8;687.7;1650.5;1316.4;1512.9;2966.9;0.51;0.66;;0.073;36855;25.11.00;0.073;9.409;0.054;-0.019;0.073;6.41;3.14;Unreliable
27.11.00;36857;3;1510.5;1009.4;2519.9;1171.5;2667.3;3691.4;0.72;0.93;;-0.303;36858;28.11.00;-0.303;9.797;0.067;0.371;-0.303;6.8;3.27;Unreliable
30.11.00;36860;7;389;224;613;872.4;489.2;1485.4;0.33;0.43;;0.045;36863;03.12.00;0.045;10.434;0.034;-0.011;0.045;3.43;1.49;Unreliable
07.12.00;36867;6;642.5;347.8;990.3;1049.2;748.6;2039.5;0.37;0.47;;0.081;36870;10.12.00;0.081;11.31;0.034;-0.046;0.081;5.31;1.88;Unreliable
13.12.00;36873;8;1800.5;443;2243.5;1064.6;1043.1;3308.1;0.32;0.41;;-0.003;36877;17.12.00;-0.003;12.161;0.028;0.031;-0.003;4.16;1.52;Unreliable
21.12.00;36881;15;1842;633.7;2475.7;744.2;1657.8;3219.9;0.51;0.67;;-0.002;36888;28.12.00;-0.002;13.299;0.038;0.04;-0.002;-1.7;0.89;Unreliable
05.01.01;36896;18;1444.1;1237.8;2682;442.1;4428.2;3124.1;1.42;1.83;;-0.036;36905;14.01.01;-0.036;14.577;0.071;0.108;-0.036;-3.42;0.81;Unreliable
23.01.01;36914;15;383.1;707.3;1090.5;537.9;2858.8;1628.4;1.76;2.27;;0.06;36921;30.01.01;0.06;15.32;0.077;0.018;0.06;0.32;1.02;Unreliable
07.02.01;36929;12;687.7;1756.1;2443.8;1547.3;6299.7;3991.1;1.58;2.04;;-0.041;36935;13.02.01;-0.041;15.7;0.071;0.111;-0.041;3.7;1.31;Unreliable
19.02.01;36941;16;455.8;597.3;1053.1;1399;2051.3;2452.1;0.84;1.08;;0.008;36949;27.02.01;0.008;15.64;0.047;0.039;0.008;-0.36;0.98;Unreliable
07.03.01;36957;13;1129.8;648.4;1778.2;992.2;2279.2;2770.4;0.82;1.06;;-0.029;36963;13.03.01;-0.029;14.914;0.049;0.078;-0.029;1.91;1.15;Unreliable
20.03.01;36970;14;844.9;451.9;1296.8;599.3;2564.1;1896.1;1.35;1.75;;-0.039;36977;27.03.01;-0.039;13.302;0.076;0.115;-0.039;-0.7;0.95;Unreliable
03.04.01;36984;6;165;408.7;573.7;518.7;2239.9;1092.4;2.05;2.65;;0.132;36987;06.04.01;0.132;11.861;0.109;-0.022;0.132;5.86;1.98;Unreliable
09.04.01;36990;10;330.1;738.8;1068.9;1336.1;4731.3;2405;1.97;2.54;;0.037;36995;14.04.01;0.037;10.612;0.119;0.082;0.037;0.61;1.06;Unreliable
19.04.01;37000;5;1817.5;491.2;2308.7;1178.9;2910.4;3487.6;0.83;1.08;;-0.017;37002;21.04.01;-0.017;9.331;0.078;0.095;-0.017;4.33;1.87;Unreliable
24.04.01;37005;9;1503.1;668;2171.1;1031.5;3988.6;3202.7;1.25;1.61;;0.089;37009;28.04.01;0.089;7.54;0.127;0.039;0.089;-1.46;0.84;Suspect
03.05.01;37014;5;2387.3;1547.3;3934.6;3168.3;8458.6;7102.9;1.19;1.54;;0.211;37016;05.05.01;0.211;6.51;0.143;-0.068;0.211;1.51;1.3;Unreliable
08.05.01;37019;7;6336.6;2603.4;8940;11494.3;11150.4;20434.2;0.55;0.71;;-0.014;37022;11.05.01;-0.014;5.845;0.091;0.105;-0.014;-1.16;0.83;
15.05.01;37026;7;8890.9;5108.6;13999.4;4519.1;6385.7;18518.5;0.34;0.45;;-0.046;37029;18.05.01;-0.046;5.243;0.07;0.116;-0.046;-1.76;0.75;
22.05.01;37033;7;6837.6;1768.3;8606;4794.2;3477.7;13400.1;0.26;0.34;;-0.042;37036;25.05.01;-0.042;4.774;0.061;0.103;-0.042;-2.23;0.68;
29.05.01;37040;7;5108.6;2462.6;7571.1;2384;5553.9;9955.1;0.56;0.72;;0.005;37043;01.06.01;0.005;4.404;0.123;0.118;0.005;-2.6;0.63;
05.06.01;37047;7;5619.4;2632.9;8252.3;2082.7;4754.9;10335;0.46;0.59;;-0.029;37050;08.06.01;-0.029;4.108;0.114;0.143;-0.029;-2.89;0.59;
12.06.01;37054;7;5246.1;1571.9;6818;1591.5;2397.1;8409.5;0.29;0.37;;0.027;37057;15.06.01;0.027;3.87;0.081;0.054;0.027;-3.13;0.55;
19.06.01;37061;6;5658.7;2269.4;7928.1;2239.9;3389.3;10168;0.33;0.43;;-0.266;37064;22.06.01;-0.266;3.679;0.097;0.364;-0.266;-2.32;0.61;
25.06.01;37067;8;911.7;385.1;1296.8;762.4;581.6;2059.1;0.28;0.36;;0.124;37071;29.06.01;0.124;3.529;0.088;-0.035;0.124;-4.47;0.44;
03.07.01;37075;6;1051.2;1630.8;2682;2849;3242;5531;0.59;0.76;;-0.048;37078;06.07.01;-0.048;3.417;0.165;0.213;-0.048;-2.58;0.57;
09.07.01;37081;9;1358.3;1155.1;2513.5;1636.4;2192.6;4149.9;0.53;0.68;;0.002;37085;13.07.01;0.002;3.34;0.156;0.153;0.002;-5.66;0.37;
18.07.01;37090;6;1218.2;1781.4;2999.6;1244.4;5043.1;4244;1.19;1.54;;-0.072;37093;21.07.01;-0.072;3.289;0.283;0.355;-0.072;-2.71;0.55;
24.07.01;37096;7;766.3;923.5;1689.8;1061;3674.2;2750.8;1.34;1.73;;0.139;37099;27.07.01;0.139;3.273;0.306;0.168;0.139;-3.73;0.47;
31.07.01;37103;7;2043.4;864.5;2907.9;4348.8;3955.9;7256.8;0.55;0.7;;-0.174;37106;03.08.01;-0.174;3.269;0.163;0.337;-0.174;-3.73;0.47;
07.08.01;37110;7;935.3;503;1438.3;707.3;1556.1;2145.6;0.73;0.94;;-0.062;37113;10.08.01;-0.062;3.281;0.202;0.264;-0.062;-3.72;0.47;
14.08.01;37117;7;308.8;370.5;679.3;707.3;1768.3;1386.6;1.28;1.65;;0.217;37120;17.08.01;0.217;3.311;0.294;0.077;0.217;-3.69;0.47;
21.08.01;37124;7;1571.9;1210.3;2782.2;3568.1;4385.5;6350.3;0.69;0.89;;0.157;37127;24.08.01;0.157;3.36;0.19;0.033;0.157;-3.64;0.48;
28.08.01;37131;9;7112.7;2475.7;9588.4;9470.5;4440.5;19058.8;0.23;0.3;;-0.182;37135;01.09.01;-0.182;3.446;0.076;0.259;-0.182;-5.55;0.38;
06.09.01;37140;6;1729.1;694.2;2423.3;1270.6;1532.6;3693.9;0.41;0.54;;0.156;37143;09.09.01;0.156;3.569;0.12;-0.035;0.156;-2.43;0.59;
12.09.01;37146;6;4689.4;1231.3;5920.7;3484.3;2724.6;9405;0.29;0.37;;-0.078;37149;15.09.01;-0.078;3.691;0.086;0.164;-0.078;-2.31;0.62;
18.09.01;37152;7;3242;648.4;3890.4;2004.1;1218.2;5894.5;0.21;0.27;;-0.066;37155;21.09.01;-0.066;3.846;0.062;0.127;-0.066;-3.15;0.55;
25.09.01;37159;8;2475.7;314.4;2790.1;930;668;3720.1;0.18;0.23;;0.073;37163;29.09.01;0.073;4.117;0.051;-0.022;0.073;-3.88;0.51;
03.10.01;37167;6;3300.9;890.7;4191.6;2462.6;2043.4;6654.2;0.31;0.4;;-0.156;37170;06.10.01;-0.156;4.424;0.076;0.232;-0.156;-1.58;0.74;
09.10.01;37173;6;1208.4;432.3;1640.6;962.8;1011.9;2603.4;0.39;0.5;;0.031;37176;12.10.01;0.031;4.753;0.086;0.055;0.031;-1.25;0.79;
15.10.01;37179;7;1306.6;648.4;1955;1178.9;1355.7;3133.9;0.43;0.56;;-0.054;37182;18.10.01;-0.054;5.16;0.086;0.14;-0.054;-1.84;0.74;
22.10.01;37186;7;1076.7;298.7;1375.4;770.2;440.1;2145.6;0.21;0.27;;0.052;37189;25.10.01;0.052;5.763;0.041;-0.011;0.052;-1.24;0.82;
29.10.01;37193;14;1621;962.8;2583.8;501;1512.9;3084.8;0.49;0.63;;0.029;37200;05.11.01;0.029;7.008;0.07;0.041;0.029;-6.99;0.5;
12.11.01;37207;14;1640.6;1149.4;2790.1;1817.5;2652.5;4607.5;0.58;0.74;;-0.003;37214;19.11.01;-0.003;9.882;0.056;0.059;-0.003;-4.12;0.71;
26.11.01;37221;14;1650.5;1208.4;2858.8;1562;2524.8;4420.9;0.57;0.74;;0.003;37228;03.12.01;0.003;12.308;0.045;0.042;0.003;-1.69;0.88;
10.12.01;37235;43;1983.3;471.6;2454.9;2135.9;984.7;4590.8;0.21;0.28;;-0.037;37256;31.12.01;;16.483;;;;;;
22.01.02;37278;14;712.3;39.3;751.5;167;54;918.6;0.06;0.08;;-0.035;37285;29.01.02;-0.035;18.517;0.004;0.039;-0.035;4.52;1.32;Unreliable
05.02.02;37292;14;458.9;0;458.9;101;0;560;0;0;;0.011;37299;12.02.02;0.011;18.364;0;-0.011;0.011;4.36;1.31;Unreliable
19.02.02;37306;13;324.2;286.3;610.5;46.3;1448.4;656.8;2.21;2.85;;-0.089;37312;25.02.02;-0.089;17.499;0.077;0.166;-0.089;4.5;1.35;Unreliable
04.03.02;37319;14;44.2;137.5;181.7;24.6;736.8;206.3;3.57;4.61;;0.088;37326;11.03.02;0.088;15.992;0.108;0.02;0.088;1.99;1.14;Unreliable
18.03.02;37333;7;358.6;113;471.6;235.8;653.3;707.3;0.92;1.19;;0.239;37336;21.03.02;0.239;14.658;0.054;-0.185;0.239;7.66;2.09;Unreliable
25.03.02;37340;8;1938.6;419.2;2357.8;1401.6;3353.3;3759.4;0.89;1.15;;-0.112;37344;29.03.02;-0.112;13.275;0.058;0.169;-0.112;5.28;1.66;Unreliable
02.04.02;37348;7;613;613;1226.1;314.4;5179.3;1540.4;3.36;4.34;;0.312;37351;05.04.02;0.312;11.979;0.14;-0.172;0.312;4.98;1.71;Unreliable
09.04.02;37355;7;2298.9;2888.3;5187.2;8468.4;25326.7;13655.6;1.85;2.4;;-0.111;37358;12.04.02;-0.111;10.643;0.115;0.226;-0.111;3.64;1.52;Unreliable
16.04.02;37362;6;2279.2;377.2;2656.4;3615.3;3049.4;6271.7;0.49;0.63;;0.208;37365;19.04.02;0.208;9.278;0.053;-0.155;0.208;3.28;1.55;Unreliable
22.04.02;37368;7;6876.9;2200.6;9077.5;12771.4;14500.4;21848.9;0.66;0.86;;-0.001;37371;25.04.02;-0.001;7.753;0.08;0.081;-0.001;0.75;1.11;Suspect
29.04.02;37375;8;11120.9;2161.3;13282.2;8409.5;8448.8;21691.7;0.39;0.5;;-0.102;37379;03.05.02;-0.102;6.605;0.062;0.164;-0.102;-1.4;0.83;
07.05.02;37383;8;7505.6;117.9;7623.5;1964.8;157.2;9588.4;0.02;0.02;;-0.088;37387;11.05.02;-0.088;5.753;0.004;0.091;-0.088;-2.25;0.72;
15.05.02;37391;6;3183;550.2;3733.2;1021.7;962.8;4754.9;0.2;0.26;;-0.104;37394;18.05.02;-0.104;5.173;0.045;0.149;-0.104;-0.83;0.86;
21.05.02;37397;6;795.8;663.1;1458.9;1090.5;2519.9;2549.4;0.99;1.28;;0.175;37400;24.05.02;0.175;4.768;0.173;-0.003;0.175;-1.23;0.79;
27.05.02;37403;7;3713.5;785.9;4499.5;2790.1;2927.6;7289.5;0.4;0.52;;0.015;37406;30.05.02;0.015;4.431;0.094;0.079;0.015;-2.57;0.63;
03.06.02;37410;8;4185.1;785.9;4971;3143.7;1905.9;8114.7;0.23;0.3;;0.097;37414;07.06.02;0.097;4.093;0.065;-0.032;0.097;-3.91;0.51;
11.06.02;37418;7;13164.4;785.9;13950.3;3693.9;943.1;17644.2;0.05;0.07;;-0.155;37421;14.06.02;-0.155;3.867;0.017;0.172;-0.155;-3.13;0.55;
18.06.02;37425;9;4381.6;628.7;5010.3;943.1;864.5;5953.4;0.15;0.19;;0.101;37429;22.06.02;0.101;3.658;0.047;-0.054;0.101;-5.34;0.41;
27.06.02;37434;5;10190.9;1650.5;11841.4;2986.5;2488.8;14827.9;0.17;0.22;;-0.254;37436;29.06.02;-0.254;3.505;0.056;0.31;-0.254;-1.5;0.7;
02.07.02;37439;6;2593.6;648.4;3242;923.5;1257.5;4165.4;0.3;0.39;;-0.154;37442;05.07.02;-0.154;3.404;0.097;0.251;-0.154;-2.6;0.57;
08.07.02;37445;16;916.9;222.7;1139.6;510.9;432.3;1650.5;0.26;0.34;;0.074;37453;16.07.02;0.074;3.278;0.089;0.015;0.074;-12.72;0.2;
24.07.02;37461;6;2148.2;1440.9;3589.1;1768.3;3418.8;5357.4;0.64;0.82;0.55;-0.174;37464;27.07.02;-0.174;3.218;0.137;0.311;-0.174;-2.78;0.54;
30.07.02;37467;7;1051.2;294.7;1345.9;540.3;785.9;1886.2;0.42;0.54;0.53;-0.057;37470;02.08.02;-0.057;3.209;0.132;0.189;-0.057;-3.79;0.46;
06.08.02;37474;8;393;170.3;563.3;700.8;812.1;1264;0.64;0.83;1.04;-0.01;37478;10.08.02;-0.01;3.223;0.221;0.231;-0.01;-4.78;0.4;
14.08.02;37482;6;265.3;397.9;663.1;501;2114.6;1164.2;1.82;2.35;1.67;0.09;37485;17.08.02;0.09;3.258;0.302;0.212;0.09;-2.74;0.54;
20.08.02;37488;9;567.3;560;1127.3;869.4;2903;1996.8;1.45;1.88;1.04;0.194;37492;24.08.02;0.194;3.316;0.215;0.021;0.194;-5.68;0.37;
29.08.02;37497;5;5187.2;2063.1;7250.2;4244;6896.6;11494.3;0.6;0.78;0.32;0.118;37499;31.08.02;0.118;3.396;0.082;-0.037;0.118;-1.6;0.68;
03.09.02;37502;8;6660.8;1945.2;8606;12142.6;2858.8;20748.6;0.14;0.18;0.34;-0.283;37506;07.09.02;-0.283;3.495;0.084;0.367;-0.283;-4.5;0.44;
11.09.02;37510;8;1046.3;501;1547.3;604.2;1061;2151.5;0.49;0.64;1.4;0.007;37514;15.09.02;0.007;3.646;0.24;0.234;0.007;-4.35;0.46;
19.09.02;37518;7;510.9;943.1;1454;815.4;3752.8;2269.4;1.65;2.14;0.97;0.207;37521;22.09.02;0.207;3.826;0.177;-0.03;0.207;-3.17;0.55;
26.09.02;37525;5;2849;1748.7;4597.7;5088.9;5049.6;9686.6;0.52;0.67;0.7;-0.08;37527;28.09.02;-0.08;4.021;0.132;0.212;-0.08;-0.98;0.8;
01.10.02;37530;8;1856.8;1517.8;3374.6;3109.3;3713.5;6483.9;0.57;0.74;0.57;0.031;37534;05.10.02;0.031;4.283;0.105;0.073;0.031;-3.72;0.54;
09.10.02;37538;15;2004.1;3153.6;5157.7;3183;7957.6;8340.7;0.95;1.23;0.23;-0.054;37545;16.10.02;-0.054;4.82;0.043;0.098;-0.054;-10.18;0.32;
24.10.02;37553;14;1955;461.7;2416.7;1277.1;785.9;3693.9;0.21;0.27;0.62;-0.061;37560;31.10.02;-0.061;5.97;0.081;0.142;-0.061;-8.03;0.43;
07.11.02;37567;14;952.9;343.8;1296.8;275.1;952.9;1571.9;0.61;0.78;0.9;0.099;37574;14.11.02;0.099;7.585;0.085;-0.014;0.099;-6.41;0.54;
21.11.02;37581;12;1621;1591.5;3212.5;3079.9;4671.4;6292.4;0.74;0.96;0.39;-0.003;37587;27.11.02;-0.003;10.194;0.032;0.035;-0.003;-1.81;0.85;
03.12.02;37593;6;2181;1061;3242;2829.4;2652.5;6071.3;0.44;0.56;;-0.154;37596;06.12.02;-0.154;11.544;0.039;0.192;-0.154;5.54;1.92;Unreliable
09.12.02;37599;63;1046.3;604.2;1650.5;766.3;1547.3;2416.7;0.64;0.83;;-0.007;37630;09.01.03;;15.151;;;;;;Unreliable
10.02.03;37662;24;1159.2;0;1159.2;373.3;186.7;1532.6;0.12;0.16;0.37;-0.088;37674;22.02.03;-0.088;16.679;0.019;0.106;-0.088;-7.32;0.69;Unreliable
06.03.03;37686;7;98.2;0;98.2;88.4;451.9;186.7;2.42;3.13;1.42;0.103;37689;09.03.03;0.103;15.783;0.056;-0.047;0.103;8.78;2.25;Unreliable
13.03.03;37693;7;176.8;0;176.8;206.3;1326.3;383.1;3.46;4.47;1.9;0.03;37696;16.03.03;0.03;15.101;0.071;0.041;0.03;8.1;2.16;Unreliable
20.03.03;37700;4;176.8;0;176.8;294.7;1370.5;471.6;2.91;3.75;1.84;-0.448;37702;22.03.03;-0.448;14.434;0.072;0.52;-0.448;10.43;3.61;Unreliable
24.03.03;37704;10;44.2;0;44.2;34.4;265.3;78.6;3.38;4.36;2.41;0.259;37709;29.03.03;0.259;13.553;0.09;-0.169;0.259;3.55;1.36;Unreliable
03.04.03;37714;11;677.9;0;677.9;373.3;1021.7;1051.2;0.97;1.26;3.29;0.115;37719;08.04.03;0.115;12.092;0.12;0.006;0.115;1.09;1.1;Unreliable
14.04.03;37725;11;1454;0;1454;2259.6;7407.4;3713.5;1.99;2.58;2.14;0.131;37730;19.04.03;0.131;10.188;0.112;-0.018;0.131;-0.81;0.93;Unreliable
25.04.03;37736;7;9372.2;0;9372.2;6248.2;11523.7;15620.4;0.74;0.95;;0.123;37739;28.04.03;0.123;8.382;0.08;-0.043;0.123;1.38;1.2;Unreliable
02.05.03;37743;3;26132.2;0;26132.2;10855.7;11248.6;36987.9;0.3;0.39;1.41;-0.051;37744;03.05.03;-0.051;7.12;0.123;0.174;-0.051;4.12;2.37;Unreliable
05.05.03;37746;7;29079.5;0;29079.5;2701.6;4617.3;31781.1;0.15;0.19;2.3;-0.104;37749;08.05.03;-0.104;6.367;0.188;0.292;-0.104;-0.63;0.91;
12.05.03;37753;8;14441.5;0;14441.5;913.6;560;15355.1;0.04;0.05;0.18;-0.007;37757;16.05.03;-0.007;5.377;0.03;0.037;-0.007;-2.62;0.67;
20.05.03;37761;7;9745.6;628.7;10374.3;4165.4;1002.1;14539.7;0.07;0.09;0.3;0.009;37764;23.05.03;0.009;4.681;0.057;0.048;0.009;-2.32;0.67;
27.05.03;37768;7;9814.3;825.2;10639.6;4804;1621;15443.6;0.1;0.14;0.57;-0.038;37771;30.05.03;-0.038;4.128;0.109;0.147;-0.038;-2.87;0.59;
03.06.03;37775;14;7869.1;943.1;8812.3;3006.2;1856.8;11818.4;0.16;0.2;0.4;-0.022;37782;10.06.03;-0.022;3.54;0.094;0.116;-0.022;-10.46;0.25;
17.06.03;37789;13;4980.8;2711.5;7692.3;1002.1;4420.9;8694.4;0.51;0.66;0.9;-0.053;37795;23.06.03;-0.053;3.182;0.201;0.254;-0.053;-9.82;0.24;
30.06.03;37802;15;1738.9;795.8;2534.6;1856.8;1355.7;4391.4;0.31;0.4;0.74;-0.02;37809;07.07.03;-0.02;2.937;0.188;0.208;-0.02;-12.06;0.2;
15.07.03;37817;10;1120;972.6;2092.5;1149.4;3389.3;3242;1.05;1.35;1.71;-0.042;37822;20.07.03;-0.042;2.839;0.351;0.394;-0.042;-7.16;0.28;
25.07.03;37827;11;1021.7;491.2;1512.9;609.1;1434.3;2122;0.68;0.87;1.6;0.142;37832;30.07.03;0.142;2.86;0.333;0.192;0.142;-8.14;0.26;
05.08.03;37838;14;4951.4;1650.5;6601.8;3497.4;3792.1;10099.2;0.38;0.49;1.2;-0.078;37845;08.08.03;-0.078;2.948;0.268;0.345;-0.078;-11.05;0.21;
19.08.03;37852;6;1562;962.8;2524.8;884.2;1670.1;3409;0.49;0.63;;0.101;37855;22.08.03;0.101;3.076;0.159;0.058;0.101;-2.92;0.51;
25.08.03;37858;7;3104.4;795.8;3900.2;2348;1129.8;6248.2;0.18;0.23;0.24;-0.096;37861;28.08.03;-0.096;3.182;0.067;0.163;-0.096;-3.82;0.45;
01.09.03;37865;8;1827.3;589.4;2416.7;776.1;717.2;3192.8;0.22;0.29;0.52;0.038;37869;05.09.03;0.038;3.374;0.125;0.087;0.038;-4.63;0.42;
09.09.03;37873;17;1679.9;668;2348;1974.7;1827.3;4322.6;0.42;0.55;1.17;0.014;37881;17.09.03;0.014;3.752;0.207;0.193;0.014;-13.25;0.22;
26.09.03;37890;14;4204.7;491.2;4695.9;766.3;687.7;5462.2;0.13;0.16;0.3;-0.124;37897;03.10.03;-0.124;4.461;0.058;0.183;-0.124;-9.54;0.32;
10.10.03;37904;18;471.6;235.8;707.3;250.5;560;957.9;0.58;0.76;1.01;0.044;37913;19.10.03;0.044;5.59;0.125;0.08;0.044;-12.41;0.31;
28.10.03;37922;14;1090.5;284.9;1375.4;756.5;1021.7;2131.8;0.48;0.62;1.76;0.054;37929;04.11.03;0.054;7.505;0.135;0.081;0.054;-6.5;0.54;
11.11.03;37936;10;1955;844.9;2799.9;1768.3;3065.1;4568.2;0.67;0.87;1.79;0.012;37941;16.11.03;0.012;10.126;0.101;0.089;0.012;0.13;1.01;Suspect
