"date" "taxon2" "biomass"
2000-02-22 "Chrysophytes" 2.5174
2000-02-22 "Cryptophytes" 2.7528
2000-02-22 "Cyanobacteria" 0.5559
2000-02-22 "Diatoms (centric)" 38.3006
2000-02-22 "Diatoms (pennate)" 5.08478
2000-02-22 "Dinophytes" 3.5216
2000-03-20 "Chlorophytes" 2.08248
2000-03-20 "Chrysophytes" 2.6236
2000-03-20 "Cryptophytes" 5.862
2000-03-20 "Cyanobacteria" 0.338
2000-03-20 "Diatoms (centric)" 6.76
2000-03-20 "Diatoms (pennate)" 5.4723
2000-03-20 "Dinophytes" 9.7114
2000-04-17 "Chlorophytes" 14.28656
2000-04-17 "Chrysophytes" 8.652
2000-04-17 "Cryptophytes" 33.08
2000-04-17 "Cyanobacteria" 0.2022
2000-04-17 "Diatoms (centric)" 113.06
2000-04-17 "Diatoms (pennate)" 0.6487
2000-04-17 "Dinophytes" 5.51056
2000-04-27 "Chlorophytes" 1.86946
2000-04-27 "Chrysophytes" 2.902
2000-04-27 "Cryptophytes" 14.68
2000-04-27 "Cyanobacteria" 0.235
2000-04-27 "Diatoms (centric)" 11.076
2000-04-27 "Diatoms (pennate)" 0.3076
2000-04-27 "Dinophytes" 4.1506
2000-05-04 "Chlorophytes" 5.3535
2000-05-04 "Chrysophytes" 11.4306
2000-05-04 "Cryptophytes" 21.364
2000-05-04 "Cyanobacteria" 0.245
2000-05-04 "Diatoms (centric)" 65.61404
2000-05-04 "Diatoms (pennate)" 0.13826
2000-05-04 "Dinophytes" 1.53524
2000-05-15 "Chlorophytes" 3.12198
2000-05-15 "Chrysophytes" 18.43696
2000-05-15 "Cryptophytes" 9.13
2000-05-15 "Cyanobacteria" 0.4866
2000-05-15 "Diatoms (centric)" 2.55
2000-05-15 "Diatoms (pennate)" 0.00144
2000-05-15 "Dinophytes" 6.0544
2000-05-21 "Chlorophytes" 2.59751
2000-05-21 "Chrysophytes" 17.062
2000-05-21 "Cryptophytes" 8.05
2000-05-21 "Cyanobacteria" 1.12
2000-05-21 "Diatoms (centric)" 41.8
2000-05-21 "Diatoms (pennate)" 0.01529
2000-05-21 "Dinophytes" 3.8052
2000-06-13 "Chlorophytes" 5.728058
2000-06-13 "Chrysophytes" 1.8747
2000-06-13 "Cryptophytes" 5.9496
2000-06-13 "Cyanobacteria" 30.215
2000-06-13 "Diatoms (centric)" 0.04345
2000-06-13 "Diatoms (pennate)" 1.292
2000-06-13 "Dinophytes" 1.51944
2000-06-15 "Chlorophytes" 15.4719
2000-06-15 "Chrysophytes" 2.7319
2000-06-15 "Cryptophytes" 15.692
2000-06-15 "Cyanobacteria" 2.9632
2000-06-15 "Diatoms (centric)" 0.0117
2000-06-15 "Diatoms (pennate)" 0.88828
2000-06-15 "Dinophytes" 0.7916
2000-06-29 "Chlorophytes" 10.556248
2000-06-29 "Chrysophytes" 0.55422
2000-06-29 "Cryptophytes" 2.6772
2000-06-29 "Cyanobacteria" 2.2881
2000-06-29 "Diatoms (centric)" 0.07776
2000-06-29 "Diatoms (pennate)" 1.5542
2000-06-29 "Dinophytes" 3.69364
2000-07-07 "Chlorophytes" 6.6468
2000-07-07 "Chrysophytes" 6.6092
2000-07-07 "Cryptophytes" 4.446
2000-07-07 "Cyanobacteria" 12.28
2000-07-07 "Diatoms (centric)" 0.1231
2000-07-07 "Diatoms (pennate)" 5.938
2000-07-07 "Dinophytes" 2.6092
2000-07-10 "Chlorophytes" 10.214872
2000-07-10 "Chrysophytes" 1.0808
2000-07-10 "Cryptophytes" 7.056
2000-07-10 "Cyanobacteria" 1.9039
2000-07-10 "Diatoms (centric)" 0.09108
2000-07-10 "Diatoms (pennate)" 5.88
2000-07-10 "Dinophytes" 1.23752
2000-07-20 "Chlorophytes" 19.5614
2000-07-20 "Chrysophytes" 8.9927
2000-07-20 "Cryptophytes" 7.646
2000-07-20 "Cyanobacteria" 3.8508
2000-07-20 "Diatoms (centric)" 2.8365
2000-07-20 "Diatoms (pennate)" 11.6396
2000-07-20 "Dinophytes" 0.9574
2000-08-07 "Chlorophytes" 7.899276
2000-08-07 "Chrysophytes" 3.6832
2000-08-07 "Cryptophytes" 2.3064
2000-08-07 "Cyanobacteria" 6.4033
2000-08-07 "Diatoms (centric)" 0.54624
2000-08-07 "Diatoms (pennate)" 2.23836
2000-08-07 "Dinophytes" 0.95292
2000-08-17 "Chlorophytes" 5.04497
2000-08-17 "Chrysophytes" 2.4944
2000-08-17 "Cryptophytes" 3.7188
2000-08-17 "Cyanobacteria" 8.279
2000-08-17 "Diatoms (centric)" 5.53
2000-08-17 "Diatoms (pennate)" 1.03408
2000-08-17 "Dinophytes" 2.3982
2000-08-24 "Chlorophytes" 10.41192
2000-08-24 "Chrysophytes" 11.6614
2000-08-24 "Cryptophytes" 7.783
2000-08-24 "Cyanobacteria" 5.20094
2000-08-24 "Diatoms (centric)" 2.9849
2000-08-24 "Diatoms (pennate)" 0.04488
2000-08-24 "Dinophytes" 3.3062
2000-08-30 "Chlorophytes" 4.61216
2000-08-30 "Chrysophytes" 12.69984
2000-08-30 "Cryptophytes" 5.2
2000-08-30 "Cyanobacteria" 27.71368
2000-08-30 "Diatoms (centric)" 10.5585
2000-08-30 "Diatoms (pennate)" 0.0653
2000-08-30 "Dinophytes" 3.9352
2000-09-04 "Chlorophytes" 4.43932
2000-09-04 "Chrysophytes" 12.63368
2000-09-04 "Cryptophytes" 4.1328
2000-09-04 "Cyanobacteria" 20.97606
2000-09-04 "Diatoms (centric)" 0.333
2000-09-04 "Diatoms (pennate)" 0.12412
2000-09-04 "Dinophytes" 3.1516
2000-09-14 "Chlorophytes" 4.18532
2000-09-14 "Chrysophytes" 11.55352
2000-09-14 "Cryptophytes" 10.23
2000-09-14 "Cyanobacteria" 38.26772
2000-09-14 "Diatoms (centric)" 0.3825
2000-09-14 "Diatoms (pennate)" 0.4987
2000-09-14 "Dinophytes" 4.4136
2000-09-28 "Chlorophytes" 5.731
2000-09-28 "Chrysophytes" 9.749
2000-09-28 "Cryptophytes" 2.082
2000-09-28 "Cyanobacteria" 21.8498
2000-09-28 "Diatoms (centric)" 0.43686
2000-09-28 "Diatoms (pennate)" 1.9368
2000-09-28 "Dinophytes" 6.694
2000-10-05 "Chlorophytes" 4.19822
2000-10-05 "Chrysophytes" 7.4696
2000-10-05 "Cryptophytes" 2.42
2000-10-05 "Cyanobacteria" 30.8657
2000-10-05 "Diatoms (centric)" 0.4816
2000-10-05 "Diatoms (pennate)" 3.3655
2000-10-05 "Dinophytes" 3.994
2000-10-11 "Chlorophytes" 3.50428
2000-10-11 "Chrysophytes" 2.0384
2000-10-11 "Cryptophytes" 2.3868
2000-10-11 "Cyanobacteria" 26.539
2000-10-11 "Diatoms (pennate)" 3.5754
2000-10-11 "Dinophytes" 8.232
2000-10-19 "Chlorophytes" 3.44416
2000-10-19 "Chrysophytes" 1.6547
2000-10-19 "Cryptophytes" 3.2244
2000-10-19 "Cyanobacteria" 46.4386
2000-10-19 "Diatoms (centric)" 0.12385
2000-10-19 "Diatoms (pennate)" 9.49296
2000-10-19 "Dinophytes" 5.4292
2000-10-27 "Chlorophytes" 4.52176
2000-10-27 "Chrysophytes" 4.3988
2000-10-27 "Cryptophytes" 4.5604
2000-10-27 "Cyanobacteria" 43.0977
2000-10-27 "Diatoms (centric)" 0.372
2000-10-27 "Diatoms (pennate)" 19.1838
2000-10-27 "Dinophytes" 0.5976
2000-11-06 "Chlorophytes" 5.90076
2000-11-06 "Chrysophytes" 4.0129
2000-11-06 "Cryptophytes" 5.976
2000-11-06 "Cyanobacteria" 72.68404
2000-11-06 "Diatoms (centric)" 0.22265
2000-11-06 "Diatoms (pennate)" 2.3885
2000-11-06 "Dinophytes" 0.2132
2000-11-17 "Chlorophytes" 3.5964
2000-11-17 "Chrysophytes" 3.206604
2000-11-17 "Cryptophytes" 3.0148
2000-11-17 "Cyanobacteria" 27.90766
2000-11-17 "Diatoms (centric)" 0.7582
2000-11-17 "Diatoms (pennate)" 1.59284
2000-11-17 "Dinophytes" 0.23128
2000-11-24 "Chlorophytes" 3.21064
2000-11-24 "Chrysophytes" 0.3938
2000-11-24 "Cryptophytes" 1.9036
2000-11-24 "Cyanobacteria" 52.0232
2000-11-24 "Diatoms (centric)" 0.4562
2000-11-24 "Diatoms (pennate)" 1.10156
2000-11-24 "Dinophytes" 0.6512
2000-11-30 "Chlorophytes" 1.60422
2000-11-30 "Chrysophytes" 0.8437
2000-11-30 "Cryptophytes" 1.6718
2000-11-30 "Cyanobacteria" 32.2056
2000-11-30 "Diatoms (centric)" 0.7487
2000-11-30 "Diatoms (pennate)" 1.7742
2000-11-30 "Dinophytes" 0.37
2000-12-07 "Chlorophytes" 2.94736
2000-12-07 "Chrysophytes" 2.9047
2000-12-07 "Cryptophytes" 1.907
2000-12-07 "Cyanobacteria" 58.9831
2000-12-07 "Diatoms (centric)" 1.5214
2000-12-07 "Diatoms (pennate)" 1.09188
2000-12-07 "Dinophytes" 1.2992
2000-12-13 "Chlorophytes" 3.32692
2000-12-13 "Chrysophytes" 0.77026
2000-12-13 "Cryptophytes" 1.9832
2000-12-13 "Cyanobacteria" 39.7268
2000-12-13 "Diatoms (centric)" 1.699
2000-12-13 "Diatoms (pennate)" 1.2812
2000-12-13 "Dinophytes" 1.476
2000-12-21 "Chlorophytes" 1.63412
2000-12-21 "Chrysophytes" 1.1231
2000-12-21 "Cryptophytes" 2.0594
2000-12-21 "Cyanobacteria" 31.1922
2000-12-21 "Diatoms (centric)" 2.4725
2000-12-21 "Diatoms (pennate)" 1.287
2000-12-21 "Dinophytes" 2.78288
2001-01-05 "Chlorophytes" 1.13344
2001-01-05 "Chrysophytes" 1.33818
2001-01-05 "Cryptophytes" 13.277
2001-01-05 "Cyanobacteria" 7.29412
2001-01-05 "Diatoms (centric)" 1.466
2001-01-05 "Diatoms (pennate)" 1.65064
2001-01-05 "Dinophytes" 2.08932
2001-01-23 "Chlorophytes" 0.23006
2001-01-23 "Chrysophytes" 0.4764
2001-01-23 "Cryptophytes" 3.213
2001-01-23 "Cyanobacteria" 3.4364
2001-01-23 "Diatoms (centric)" 1.34
2001-01-23 "Diatoms (pennate)" 1.3246
2001-01-23 "Dinophytes" 0.684
2001-02-19 "Chlorophytes" 2.7306
2001-02-19 "Chrysophytes" 0.4392
2001-02-19 "Cryptophytes" 2.85
2001-02-19 "Cyanobacteria" 2.0928
2001-02-19 "Diatoms (centric)" 5.18
2001-02-19 "Diatoms (pennate)" 1.24936
2001-02-19 "Dinophytes" 2.08976
2001-03-26 "Chlorophytes" 5.4108
2001-03-26 "Chrysophytes" 1.5582
2001-03-26 "Cryptophytes" 11.33
2001-03-26 "Cyanobacteria" 0.386
2001-03-26 "Diatoms (centric)" 3.5879
2001-03-26 "Diatoms (pennate)" 1.3282
2001-03-26 "Dinophytes" 8.331
2001-04-09 "Chlorophytes" 7.59256
2001-04-09 "Chrysophytes" 1.018
2001-04-09 "Cryptophytes" 9.37
2001-04-09 "Cyanobacteria" 0.1733
2001-04-09 "Diatoms (centric)" 7.85
2001-04-09 "Diatoms (pennate)" 0.0576
2001-04-09 "Dinophytes" 4.573
2001-04-24 "Chlorophytes" 9.54154
2001-04-24 "Chrysophytes" 0.174
2001-04-24 "Cryptophytes" 2.364
2001-04-24 "Cyanobacteria" 0.1026
2001-04-24 "Diatoms (centric)" 9.41
2001-04-24 "Diatoms (pennate)" 0.1804
2001-04-24 "Dinophytes" 0.2422
2001-05-30 "Chlorophytes" 13.42272
2001-05-30 "Chrysophytes" 1.6319
2001-05-30 "Cryptophytes" 9.984
2001-05-30 "Cyanobacteria" 2.007
2001-05-30 "Diatoms (centric)" 0.234
2001-05-30 "Diatoms (pennate)" 4.752
2001-05-30 "Dinophytes" 1.23064
2001-06-25 "Chlorophytes" 3.11588
2001-06-25 "Chrysophytes" 0.769
2001-06-25 "Cryptophytes" 4.31
2001-06-25 "Cyanobacteria" 103.576
2001-06-25 "Diatoms (centric)" 0.1231
2001-06-25 "Diatoms (pennate)" 31.78496
2001-06-25 "Dinophytes" 1.476
2001-07-23 "Chlorophytes" 4.5979
2001-07-23 "Chrysophytes" 1.1638
2001-07-23 "Cryptophytes" 6.99
2001-07-23 "Cyanobacteria" 15.0439
2001-07-23 "Diatoms (pennate)" 19.404
2001-07-23 "Dinophytes" 3.2054
2001-08-27 "Chlorophytes" 2.95114
2001-08-27 "Chrysophytes" 1.5078
2001-08-27 "Cryptophytes" 12.276
2001-08-27 "Cyanobacteria" 8.694
2001-08-27 "Diatoms (centric)" 0.9271
2001-08-27 "Diatoms (pennate)" 1.68928
2001-08-27 "Dinophytes" 0.3782
2001-09-24 "Chlorophytes" 2.67768
2001-09-24 "Chrysophytes" 0.972
2001-09-24 "Cryptophytes" 3.04
2001-09-24 "Cyanobacteria" 6.2405
2001-09-24 "Diatoms (centric)" 0.28975
2001-09-24 "Diatoms (pennate)" 8.946
2001-09-24 "Dinophytes" 3.2512
2001-10-22 "Chlorophytes" 3.76792
2001-10-22 "Chrysophytes" 0.65184
2001-10-22 "Cryptophytes" 1.936
2001-10-22 "Cyanobacteria" 10.9423
2001-10-22 "Diatoms (centric)" 0.228
2001-10-22 "Diatoms (pennate)" 0.50378
2001-10-22 "Dinophytes" 0.7844
2001-11-19 "Chlorophytes" 1.56044
2001-11-19 "Chrysophytes" 0.6028
2001-11-19 "Cryptophytes" 1.934
2001-11-19 "Cyanobacteria" 9.979
2001-11-19 "Diatoms (centric)" 0.036
2001-11-19 "Diatoms (pennate)" 0.4987
2001-11-19 "Dinophytes" 0.76
2001-12-17 "Chlorophytes" 0.9045
2001-12-17 "Chrysophytes" 0.4126
2001-12-17 "Cryptophytes" 1.585
2001-12-17 "Cyanobacteria" 4.1097
2001-12-17 "Diatoms (centric)" 0.2982
2001-12-17 "Diatoms (pennate)" 0.583
2001-12-17 "Dinophytes" 3.012
2002-01-28 "Chlorophytes" 5.03304
2002-01-28 "Chrysophytes" 0.06388
2002-01-28 "Cryptophytes" 15.824
2002-01-28 "Cyanobacteria" 2.52
2002-01-28 "Diatoms (centric)" 0.10716
2002-01-28 "Diatoms (pennate)" 4.551558
2002-01-28 "Dinophytes" 1.1222
2002-02-28 "Chlorophytes" 3.3147
2002-02-28 "Chrysophytes" 1.8148
2002-02-28 "Cryptophytes" 15.58
2002-02-28 "Cyanobacteria" 1.71
2002-02-28 "Diatoms (centric)" 0.823
2002-02-28 "Diatoms (pennate)" 11.1512
2002-02-28 "Dinophytes" 3.406
2002-03-25 "Chlorophytes" 5.13102
2002-03-25 "Chrysophytes" 1.66808
2002-03-25 "Cryptophytes" 54.5
2002-03-25 "Cyanobacteria" 4.6468
2002-03-25 "Diatoms (centric)" 5.518
2002-03-25 "Diatoms (pennate)" 10.35374
2002-03-25 "Dinophytes" 2.098
2002-04-29 "Chlorophytes" 9.32468
2002-04-29 "Chrysophytes" 0.2944
2002-04-29 "Cryptophytes" 4.962
2002-04-29 "Cyanobacteria" 0.04009
2002-04-29 "Diatoms (centric)" 0.518
2002-04-29 "Diatoms (pennate)" 0.47884
2002-04-29 "Dinophytes" 1.7568
2002-05-25 "Chlorophytes" 4.3684
2002-05-25 "Chrysophytes" 0.57278
2002-05-25 "Cryptophytes" 9.792
2002-05-25 "Cyanobacteria" 0.3186
2002-05-25 "Diatoms (centric)" 1.71
2002-05-25 "Diatoms (pennate)" 2.84054
2002-05-25 "Dinophytes" 1.31232
2002-06-25 "Chlorophytes" 9.60632
2002-06-25 "Chrysophytes" 0.8991
2002-06-25 "Cryptophytes" 3.834
2002-06-25 "Cyanobacteria" 7.308
2002-06-25 "Diatoms (centric)" 0.75
2002-06-25 "Diatoms (pennate)" 3.0036
2002-06-25 "Dinophytes" 1.092
2002-07-22 "Chlorophytes" 9.9376
2002-07-22 "Chrysophytes" 1.3274
2002-07-22 "Cryptophytes" 5.68
2002-07-22 "Cyanobacteria" 2.2892
2002-07-22 "Diatoms (centric)" 0.729
2002-07-22 "Diatoms (pennate)" 7.476
2002-07-22 "Dinophytes" 2.44456
2002-08-26 "Chlorophytes" 7.30572
2002-08-26 "Chrysophytes" 1.829
2002-08-26 "Cryptophytes" 15.17
2002-08-26 "Cyanobacteria" 9.1857
2002-08-26 "Diatoms (centric)" 0.737
2002-08-26 "Diatoms (pennate)" 0.2951
2002-08-26 "Dinophytes" 5.93528
2002-09-23 "Chlorophytes" 10.78734
2002-09-23 "Chrysophytes" 3.8768
2002-09-23 "Cryptophytes" 2.043
2002-09-23 "Cyanobacteria" 10.7836
2002-09-23 "Diatoms (centric)" 0.951
2002-09-23 "Diatoms (pennate)" 38.0176
2002-09-23 "Dinophytes" 0.1896
2002-10-21 "Chlorophytes" 2.20482
2002-10-21 "Chrysophytes" 1.0891
2002-10-21 "Cryptophytes" 3.076
2002-10-21 "Cyanobacteria" 20.02004
2002-10-21 "Diatoms (centric)" 0.1052
2002-10-21 "Diatoms (pennate)" 5.7192
2002-10-21 "Dinophytes" 0.684
2002-11-18 "Chlorophytes" 2.05395
2002-11-18 "Chrysophytes" 0.78006
2002-11-18 "Cryptophytes" 2.088
2002-11-18 "Cyanobacteria" 18.5036
2002-11-18 "Diatoms (centric)" 0.05325
2002-11-18 "Diatoms (pennate)" 1.8432
2002-11-18 "Dinophytes" 0.33612
2002-12-16 "Chlorophytes" 0.37166
2002-12-16 "Chrysophytes" 0.23234
2002-12-16 "Cryptophytes" 0.829
2002-12-16 "Cyanobacteria" 3.67084
2002-12-16 "Diatoms (centric)" 0.0056
2002-12-16 "Diatoms (pennate)" 1.11324
2002-12-16 "Dinophytes" 3.096
2003-01-20 "Chlorophytes" 0.10138
2003-01-20 "Chrysophytes" 0.16172
2003-01-20 "Cryptophytes" 1.772
2003-01-20 "Cyanobacteria" 0.1282
2003-01-20 "Diatoms (centric)" 0.00783
2003-01-20 "Diatoms (pennate)" 0.2668
2003-01-20 "Dinophytes" 1.38406
2003-03-10 "Chlorophytes" 0.10244
2003-03-10 "Chrysophytes" 1.6589
2003-03-10 "Cryptophytes" 20.914
2003-03-10 "Cyanobacteria" 0.799
2003-03-10 "Diatoms (centric)" 1.761
2003-03-10 "Diatoms (pennate)" 2.33302
2003-03-10 "Dinophytes" 3.3258
2003-04-14 "Chlorophytes" 10.167176
2003-04-14 "Chrysophytes" 5.5512
2003-04-14 "Cryptophytes" 48.38
2003-04-14 "Cyanobacteria" 0.0998
2003-04-14 "Diatoms (centric)" 1.386
2003-04-14 "Diatoms (pennate)" 3.7552
2003-04-14 "Dinophytes" 8.272
2003-05-19 "Chlorophytes" 1.62542
2003-05-19 "Chrysophytes" 0.5146
2003-05-19 "Cryptophytes" 4.186
2003-05-19 "Cyanobacteria" 0.585
2003-05-19 "Diatoms (centric)" 0.1053
2003-05-19 "Diatoms (pennate)" 0.136
2003-05-19 "Dinophytes" 0.504
2003-06-16 "Chlorophytes" 5.01736
2003-06-16 "Chrysophytes" 3.5376
2003-06-16 "Cryptophytes" 1.647
2003-06-16 "Cyanobacteria" 22.673
2003-06-16 "Diatoms (centric)" 0.0945
2003-06-16 "Diatoms (pennate)" 0.8855
2003-06-16 "Dinophytes" 0.864
2003-07-21 "Chlorophytes" 14.49296
2003-07-21 "Chrysophytes" 1.2713
2003-07-21 "Cryptophytes" 9.214
